stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
139,,"Kaputxinoak, Biribilgunea",43.317663075256846,-1.912338860719475,1.0,0
78,,Renfe,43.31898254931637,-1.9175935931880457,1.0,0
648,,Buenavista,43.32091310731408,-1.92178946813,1.0,0
140,,Oleta / Escalerillas,43.321373766723305,-1.9315366416386084,1.0,0
649,,Herrera,43.31992115123745,-1.938961662042508,1.0,0
650,,Gaiztarro,43.3207190667137,-1.943449235210556,1.0,0
174,,Mirakruz Gaina,43.321401593247074,-1.9500971760781969,1.0,0
177,,Ategorrieta 65,43.32196159516142,-1.9621245612510176,1.0,0
95,,Nafarroa Hirib. 31,43.32328757569839,-1.967355968600396,1.0,0
142,,Nafarroa Hirib. 7 - Okendo Kultur Etxea,43.32549299300779,-1.9702787049624864,1.0,0
